Inst,Opcode,c_pc_stall,c_next_state,c_pc_next,c_imem_addr_sel,c_adiw_phase,c_rd_rr_sel,c_alu_op,c_alu_a_sel,c_alu_b_sel,c_imm_type,c_pc_offset_mode,c_branch_mode,c_skip,c_ex_out_sel,c_flags_mask,c_ram_op,c_io_op,c_dbus_out_sel,c_dbus_addr_sel,c_new_sreg_sel,c_mem_out_sel,c_ram_adr_sel,c_rd_w_en,c_rh_sel,c_rh_op,c_sp_op,c_rampz_inc
STS (32),1001001?????0000_00,0,01,next,pc,x,5bit,x,x,x,zero,x,x,0,x,00000000,nop,nop,ex_out,ram,sreg,x,x,0,x,nop,nop,0
,1001001?????0000_01,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,x,x,sreg,x,inst,0,x,nop,nop,0
STS (16),10101???????????_00,0,00,next,pc,x,4bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,inst7,0,x,nop,nop,0
LDX,1001000?????1100_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh,1,rh_x,nop,nop,0
LDX+,1001000?????1101_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh,1,rh_x,inc,nop,0
LD-X,1001000?????1110_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh,1,rh_x,dec,nop,0
LDY,1000000?????1000_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh,1,rh_y,nop,nop,0
LDY+,1001000?????1001_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh,1,rh_y,inc,nop,0
LD-Y,1001000?????1010_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh,1,rh_y,dec,nop,0
LDY+q,10?0??0?????1???_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh_q,1,rh_y,nop,nop,0
LDZ,1000000?????0000_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh,1,rh_z,nop,nop,0
